Valuation Date,Tenor,Instrument Type,Rate,Curve Convention
,,,,
2014-01-22,1M,M,0.001535,USD-ISDA
2014-01-22,2M,M,0.001954,USD-ISDA
2014-01-22,3M,M,0.002281,USD-ISDA
2014-01-22,6M,M,0.003217,USD-ISDA
2014-01-22,1Y,M,0.005444,USD-ISDA
2014-01-22,2Y,S,0.005905,USD-ISDA
2014-01-22,3Y,S,0.009555,USD-ISDA
2014-01-22,4Y,S,0.012775,USD-ISDA
2014-01-22,5Y,S,0.015395,USD-ISDA
2014-01-22,6Y,S,0.017445,USD-ISDA
2014-01-22,7Y,S,0.019205,USD-ISDA
2014-01-22,8Y,S,0.020660,USD-ISDA
2014-01-22,9Y,S,0.021885,USD-ISDA
2014-01-22,10Y,S,0.022940,USD-ISDA
2014-01-22,12Y,S,0.024615,USD-ISDA
2014-01-22,15Y,S,0.026300,USD-ISDA
2014-01-22,20Y,S,0.027950,USD-ISDA
2014-01-22,25Y,S,0.028715,USD-ISDA
2014-01-22,30Y,S,0.029160,USD-ISDA
